close price,close time,comment,commission,expiration,lots,magic number,open price,open time,profit,stop loss,swap,symbol,take profit,ticket,order type
107.325,2011.11.01 18:30,convert from HTML,0,0,0.01,0,106.914,2011.11.01 17:30,-4.14,111.914,0,,6.915,0,1
107.177,2011.11.02 01:30,convert from HTML,0,0,0.01,0,106.914,2011.11.01 18:30,-2.68,111.914,0,,6.915,0,1
107.556,2011.11.02 03:00,convert from HTML,0,0,0.01,0,106.914,2011.11.02 01:30,-6.5,111.914,0,,6.915,0,1
107.645,2011.11.02 03:30,convert from HTML,0,0,0.01,0,106.914,2011.11.02 03:00,-7.4,111.914,0,,6.915,0,1
107.377,2011.11.02 04:00,convert from HTML,0,0,0.01,0,107.645,2011.11.02 03:30,-2.7,102.645,0,,207.644,0,0
107.069,2011.11.02 08:00,convert from HTML,0,0,0.01,0,107.645,2011.11.02 04:00,-5.8,102.645,0,,207.644,0,0
107.069,2011.11.02 08:00,convert from HTML,0,0,0.01,0,107.645,2011.11.02 08:00,-5.8,102.645,0,,207.644,0,0
107.069,2011.11.02 08:00,convert from HTML,0,0,0.01,0,107.645,2011.11.02 08:00,-5.8,102.645,0,,207.644,0,0
107.019,2011.11.02 09:03,convert from HTML,0,0,0.01,0,107.069,2011.11.02 08:00,0.51,112.069,0,,7.07,0,1
107.209,2011.11.02 12:30,convert from HTML,0,0,0.01,0,107.069,2011.11.02 09:03,-1.41,112.069,0,,7.07,0,1
107.209,2011.11.02 12:30,convert from HTML,0,0,0.01,0,107.069,2011.11.02 12:30,-1.41,112.069,0,,7.07,0,1
107.838,2011.11.04 03:00,convert from HTML,0,0,0.01,0,107.069,2011.11.02 12:30,-7.91,112.069,0,,7.07,0,1
107.941,2011.11.04 04:41,convert from HTML,0,0,0.01,0,107.838,2011.11.04 03:00,1.03,102.838,0,,207.837,0,0
107.652,2011.11.04 10:00,convert from HTML,0,0,0.01,0,107.838,2011.11.04 04:41,-1.88,102.838,0,,207.837,0,0
107.602,2011.11.04 12:30,convert from HTML,0,0,0.01,0,107.838,2011.11.04 10:00,-2.38,102.838,0,,207.837,0,0
107.602,2011.11.04 12:30,convert from HTML,0,0,0.01,0,107.838,2011.11.04 12:30,-2.38,102.838,0,,207.837,0,0
107.683,2011.11.04 13:00,convert from HTML,0,0,0.01,0,107.602,2011.11.04 12:30,-0.82,112.602,0,,7.603,0,1
107.823,2011.11.04 14:30,convert from HTML,0,0,0.01,0,107.602,2011.11.04 13:00,-2.23,112.602,0,,7.603,0,1
