#,Time,Type,Order,Size,Price,S / L,T / P,Profit,Balance
1,2013.01.04 17:30,buy stop,1,1,114.941,113.859,0,,
2,2013.01.04 17:30,buy,1,1,114.941,113.859,0,,
3,2013.01.04 23:30,close,1,1,114.472,113.859,0,-496.59,9503.41
4,2013.01.05 02:00,buy stop,2,1,115.112,114.289,0,,
5,2013.01.05 02:00,buy,2,1,115.112,114.289,0,,
6,2013.01.07 10:00,close,2,1,114.979,114.289,0,-140.83,9362.58
7,2013.01.09 06:30,sell stop,3,1,113.714,114.598,0,,
8,2013.01.09 06:30,sell,3,1,113.714,114.598,0,,
9,2013.01.09 09:30,close,3,1,114.058,114.598,0,-364.04,8998.54
10,2013.01.10 10:00,buy stop,4,1,115.13,114.307,0,,
11,2013.01.10 10:00,buy,4,1,115.13,114.307,0,,
12,2013.01.11 17:30,close,4,1,117.952,114.307,0,2987.98,11986.52
13,2013.01.11 18:00,buy stop,5,1,118.111,115.191,0,,
14,2013.01.11 18:00,buy,5,1,118.111,115.191,0,,
15,2013.01.11 19:00,close,5,1,117.997,115.191,0,-120.7,11865.82
16,2013.01.11 23:30,buy stop,6,1,119.192,115.394,0,,
17,2013.01.11 23:30,buy,6,1,119.192,115.394,0,,
18,2013.01.14 17:00,close,6,1,119.571,115.394,0,401.29,12267.11
19,2013.01.17 23:00,buy stop,7,1,119.412,118.073,0,,
20,2013.01.17 23:00,buy,7,1,119.412,118.073,0,,
21,2013.01.18 18:00,close,7,1,120.204,118.073,0,838.58,13105.69
22,2013.01.22 03:00,buy stop,8,1,119.617,118.79,0,,
23,2013.01.22 03:04,buy,8,1,119.617,118.79,0,,
24,2013.01.22 09:00,close,8,1,119.281,118.79,0,-355.76,12749.93
25,2013.01.23 15:00,sell stop,9,1,117.542,119.157,0,,
26,2013.01.23 15:00,sell,9,1,117.542,119.157,0,,
27,2013.01.23 19:00,close,9,1,117.864,119.157,0,-340.76,12409.17
28,2013.01.24 23:00,buy stop,10,1,120.089,118.736,0,,
29,2013.01.24 23:00,buy,10,1,120.089,118.736,0,,
30,2013.01.28 10:00,close,10,1,122.501,118.736,0,2553.87,14963.04
31,2013.01.30 06:00,buy stop,11,1,122.502,121.131,0,,
32,2013.01.30 06:05,buy,11,1,122.502,121.131,0,,
33,2013.01.31 06:00,close,11,1,123.554,121.131,0,1113.87,16076.91
34,2013.02.01 03:00,buy stop,12,1,124.165,122.659,0,,
35,2013.02.01 03:00,buy,12,1,124.165,122.659,0,,
36,2013.02.01 23:30,close,12,1,125.211,122.659,0,1107.52,17184.43
37,2013.02.02 01:00,buy stop,13,1,126.923,123.276,0,,
38,2013.02.02 01:00,buy,13,1,126.923,123.276,0,,
39,2013.02.04 09:30,close,13,1,126.508,123.276,0,-439.41,16745.02
40,2013.02.05 20:00,buy stop,14,1,126.074,124.375,0,,
41,2013.02.05 20:00,buy,14,1,126.074,124.375,0,,
42,2013.02.06 16:30,close,14,1,127.113,124.375,0,1100.11,17845.13
43,2013.02.06 16:30,buy stop,15,1,127.287,125.484,0,,
44,2013.02.06 17:30,expiration,15,1,127.287,125.484,0,,
45,2013.02.07 19:00,buy stop,16,1,127.368,126.06,0,,
46,2013.02.07 19:00,buy,16,1,127.368,126.06,0,,
47,2013.02.07 22:47,s/l,16,1,126.06,126.06,0,-1384.93,16460.2
48,2013.02.07 22:47,buy stop,17,1,126.855,126.206,0,,
49,2013.02.07 23:47,expiration,17,1,126.855,126.206,0,,
50,2013.02.08 09:30,sell stop,18,1,125.066,126.121,0,,
51,2013.02.08 10:30,expiration,18,1,125.066,126.121,0,,
52,2013.02.08 14:30,sell stop,19,1,125.299,126.059,0,,
53,2013.02.08 14:31,sell,19,1,125.299,126.059,0,,
54,2013.02.09 05:00,close,19,1,124.137,126.059,0,1229.69,17689.89
55,2013.02.09 05:03,sell stop,20,1,123.792,125.773,0,,
56,2013.02.09 06:03,expiration,20,1,123.792,125.773,0,,
57,2013.02.09 06:03,sell stop,21,1,123.786,125.759,0,,
58,2013.02.11 07:00,expiration,21,1,123.786,125.759,0,,
59,2013.02.11 07:18,sell stop,22,1,123.768,125.745,0,,
60,2013.02.11 07:18,sell,22,1,123.768,125.745,0,,
61,2013.02.11 14:30,close,22,1,124.04,125.745,0,-287.84,17402.05
62,2013.02.15 00:07,sell stop,23,1,123.907,125.198,0,,
63,2013.02.15 00:07,sell,23,1,123.907,125.198,0,,
64,2013.02.15 09:30,close,23,1,124.331,125.198,0,-448.7,16953.35
65,2013.02.20 10:04,buy stop,24,1,125.814,124.752,0,,
66,2013.02.20 10:04,buy,24,1,125.814,124.752,0,,
67,2013.02.20 13:30,close,24,1,125.282,124.752,0,-563.29,16390.06
68,2013.02.21 13:00,sell stop,25,1,123.92,124.904,0,,
69,2013.02.21 13:00,sell,25,1,123.92,124.904,0,,
70,2013.02.22 05:30,close,25,1,122.911,124.904,0,1063.54,17453.6
71,2013.02.26 07:00,sell stop,26,1,119.919,123.879,0,,
72,2013.02.26 07:00,sell,26,1,119.919,123.879,0,,
73,2013.02.26 17:30,close,26,1,120.682,123.879,0,-807.45,16646.15
