ticket,open time,order type,lots,symbol,open price,stop loss,take profit,close time,close price,commission,tax,swap,profit,expiration,magic number
18797412,2012.10.24 17:00,1,1,eurjpypro,103.345,103.245,0,2012.10.24 17:55,103.246,0,0,0,9900 ,2012.10.24 17:00,0
18797817,2012.10.24 17:56,1,1,eurjpypro,103.215,103.185,0,2012.10.24 19:13,103.186,0,0,0,2900 ,2012.10.24 17:56,0
18798110,2012.10.24 19:14,1,1,eurjpypro,103.149,103.289,103.148,2012.10.24 20:30,103.29,0,0,0,-14100 ,2012.10.24 19:14,0
18803595,2012.10.25 21:37,1,1,eurjpypro,104.065,0,104.064,2012.10.25 21:38,104.064,0,0,0,100 ,2012.10.25 21:37,0
18803763,2012.10.25 22:04,1,1,eurjpypro,104.081,104.124,104.08,2012.10.25 22:09,104.124,0,0,0,-4300 ,2012.10.25 22:04,0
18824178,2012.11.01 12:33,0,1,eurjpypro,103.846,103.022,0,2012.11.01 16:30,103.525,0,0,0,-32100 ,2012.11.01 12:33,0
18827393,2012.11.01 17:19,0,1,eurjpypro,103.63,103.127,0,2012.11.01 17:21,103.538,0,0,0,-9200 ,2012.11.01 17:19,0
18829730,2012.11.01 19:29,0,1,eurjpypro,103.624,103.71,0,2012.11.02 00:19,103.709,0,0,0,8500 ,2012.11.01 19:29,0
18831598,2012.11.02 00:19,0,1,eurjpypro,103.737,103.5,0,2012.11.02 14:55,103.5,0,0,-400,-23700 ,2012.11.02 00:19,0
18920140,2012.11.27 10:15,0,0.1,eurjpypro,106.599,106.45,106.6,2012.11.27 10:39,106.45,0,0,0,-1490 ,2012.11.27 10:15,0
19063317,2013.01.10 07:02,0,1,eurjpypro,114.843,116.116,0,2013.01.11 15:30,117.857,0,0,-100,301400 ,2013.01.10 07:02,0
19090013,2013.01.15 23:01,0,1,eurjpypro,118.5,117.517,0,2013.01.16 10:11,117.515,0,0,-100,-98500 ,2013.01.15 23:01,0
19105761,2013.01.17 23:00,0,1,eurjpypro,119.335,119.66,0,2013.01.18 11:30,119.977,0,0,0,64200 ,2013.01.17 23:00,0
19117166,2013.01.21 18:44,0,1,eurjpypro,119.361,119.491,0,2013.01.22 01:15,119.483,0,0,0,12200 ,2013.01.21 18:44,0
19118339,2013.01.22 01:16,0,1,eurjpypro,119.512,118.762,0,2013.01.22 13:30,118.752,0,0,-100,-76000 ,2013.01.22 01:16,0
19122077,2013.01.22 15:50,0,1,eurjpypro,119.232,118.608,0,2013.01.22 17:45,118.607,0,0,0,-62500 ,2013.01.22 15:50,0
19128003,2013.01.23 13:30,1,1,eurjpypro,117.773,117.603,0,2013.01.23 17:11,117.606,0,0,0,16700 ,2013.01.23 13:30,0
19129318,2013.01.23 18:00,1,1,eurjpypro,117.25,118.714,0,2013.01.23 19:01,117.91,0,0,0,-66000 ,2013.01.23 18:00,0
19132359,2013.01.24 08:02,1,1,eurjpypro,117.775,118.404,0,2013.01.24 11:47,118.404,0,0,0,-62900 ,2013.01.24 08:02,0
19136560,2013.01.24 23:00,0,1,eurjpypro,120.011,122.231,0,2013.01.26 00:19,122.231,0,0,-100,222000 ,2013.01.24 23:00,0
19152943,2013.01.29 17:36,0,1,eurjpypro,121.98,121.383,0,2013.01.29 19:49,121.383,0,0,0,-59700 ,2013.01.29 17:36,0
19154231,2013.01.29 22:56,0,1,eurjpypro,121.824,122,0,2013.01.30 02:26,121.998,0,0,0,17400 ,2013.01.29 22:56,0
19155452,2013.01.30 02:26,0,1,eurjpypro,122.022,123.432,0,2013.01.30 22:30,123.325,0,0,-100,130300 ,2013.01.30 02:26,0
19164606,2013.01.31 21:00,0,1,eurjpypro,123.41,123.232,123.412,2013.01.31 22:28,123.231,0,0,0,-17900 ,2013.01.31 21:00,0
19164733,2013.01.31 23:52,0,1,eurjpypro,123.805,123.56,123.85,2013.02.01 00:55,123.85,0,0,0,4500 ,2013.01.31 23:52,0
19164845,2013.01.31 22:29,0,1,eurjpypro,123.272,123.312,0,2013.01.31 22:36,123.312,0,0,0,4000 ,2013.01.31 22:29,0
19164898,2013.01.31 22:44,0,1,eurjpypro,123.272,123.252,123.277,2013.01.31 22:46,123.25,0,0,0,-2200 ,2013.01.31 22:44,0
19164942,2013.01.31 22:47,0,1,eurjpypro,123.306,123.001,123.302,2013.01.31 22:56,123.302,0,0,0,-400 ,2013.01.31 22:47,0
19164957,2013.01.31 22:50,0,1,eurjpypro,123.245,123.214,123.249,2013.01.31 22:54,123.249,0,0,0,400 ,2013.01.31 22:50,0
