close price,close time,comment,commission,expiration,lots,magic number,open price,open time,profit,stop loss,swap,symbol,take profit,ticket,order type,account id,is closed,eod date
99.06,2013.04.26 06:43,,-300,2013.04.26 00:00:00,0.5,0,99.037,2013.04.26 06:43,1150,0,0,USDJPYpro,0,4434279,0,120768,1,2013.04.26 00:00:00
99.081,2013.04.26 07:06,,-300,2013.04.26 00:00:00,0.5,0,99.075,2013.04.26 07:06,300,0,0,USDJPYpro,0,4434378,0,120768,1,2013.04.26 00:00:00
99.034,2013.04.26 07:30,,-300,2013.04.26 00:00:00,0.5,0,99.05,2013.04.26 07:20,800,0,0,USDJPYpro,0,4434424,1,120768,1,2013.04.26 00:00:00
98.889,2013.04.26 07:47,,-60,2013.04.26 00:00:00,0.1,0,98.822,2013.04.26 07:45,-670,0,0,USDJPYpro,0,4434507,1,120768,1,2013.04.26 00:00:00
