close price,close time,comment,commission,expiration,lots,magic number,open price,open time,profit,stop loss,swap,symbol,take profit,ticket,order type,account id
0,2012.10.05 23:15,Wires,0,1970.01.01 00:00,0.01,0,0,2012.10.05 23:15,1000000,0,0,,0,18716923,6,10952720
101.747,2012.10.15 16:51,cancelled,0,1970.01.01 00:00,1,0,101.83,2012.10.15 16:50,0,102.1,0,EURJPYpro,0,18744360,3,10952720
103.246,2012.10.24 17:55,[sl],0,1970.01.01 00:00,1,30001,103.345,2012.10.24 17:00,9900,103.245,0,EURJPYpro,0,18797412,1,10952720
103.186,2012.10.24 19:13,[sl],0,1970.01.01 00:00,1,30001,103.215,2012.10.24 17:56,2900,103.185,0,EURJPYpro,0,18797817,1,10952720
103.29,2012.10.24 20:30,[sl],0,1970.01.01 00:00,1,30001,103.149,2012.10.24 19:14,-14100,103.289,0,EURJPYpro,103.148,18798110,1,10952720
104.064,2012.10.25 21:38,[tp],0,1970.01.01 00:00,1,0,104.065,2012.10.25 21:37,100,0,0,EURJPYpro,104.064,18803595,1,10952720
104.129,2012.10.25 21:53,cancelled,0,1970.01.01 00:00,1,0,104.11,2012.10.25 21:53,0,0,0,EURJPYpro,104.095,18803711,5,10952720
104.124,2012.10.25 22:09,[sl],0,1970.01.01 00:00,1,0,104.081,2012.10.25 22:04,-4300,104.124,0,EURJPYpro,104.08,18803763,1,10952720
103.525,2012.11.01 16:30,xEMA_1.4.9,0,1970.01.01 00:00,1,30001,103.846,2012.11.01 12:33,-32100,103.022,0,EURJPYpro,0,18824178,0,10952720
103.538,2012.11.01 17:21,xEMA_1.4.9,0,1970.01.01 00:00,1,30001,103.63,2012.11.01 17:19,-9200,103.127,0,EURJPYpro,0,18827393,0,10952720
103.417,2012.11.01 18:22,expiration [2012.11.01 18:22],0,2012.11.01 18:22,1,30001,103.627,2012.11.01 17:22,0,103.127,0,EURJPYpro,0,18827453,4,10952720
103.709,2012.11.02 00:19,xEMA_1.4.9[sl],0,1970.01.01 00:00,1,30001,103.624,2012.11.01 19:29,8500,103.71,0,EURJPYpro,0,18829730,0,10952720
103.5,2012.11.02 14:55,xEMA_1.4.9[sl],0,1970.01.01 00:00,1,30001,103.737,2012.11.02 00:19,-23700,103.5,-400,EURJPYpro,0,18831598,0,10952720
0,2012.11.03 08:40,Promotional Fees,0,1970.01.01 00:00,0.01,0,0,2012.11.03 08:40,5650,0,0,,0,18837699,6,10952720
106.45,2012.11.27 10:39,[sl],0,1970.01.01 00:00,0.1,0,106.599,2012.11.27 10:15,-1490,106.45,0,EURJPYpro,106.6,18920140,0,10952720
117.857,2013.01.11 15:30,xEMA_1.4.9,0,1970.01.01 00:00,1,30001,114.843,2013.01.10 07:02,301400,116.116,-100,EURJPYpro,0,19063317,0,10952720
117.814,2013.01.15 21:30,expiration [2013.01.15 21:30],0,2013.01.15 21:30,1,30001,118.79,2013.01.15 20:30,0,117.654,0,EURJPYpro,0,19088882,4,10952720
117.96,2013.01.15 22:30,expiration [2013.01.15 22:30],0,2013.01.15 22:30,1,30001,118.594,2013.01.15 21:30,0,117.699,0,EURJPYpro,0,19089605,4,10952720
117.515,2013.01.16 10:11,xEMA_1.4.9[sl],0,1970.01.01 00:00,1,30001,118.5,2013.01.15 23:01,-98500,117.517,-100,EURJPYpro,0,19090013,0,10952720
117.242,2013.01.16 11:11,expiration [2013.01.16 11:11],0,2013.01.16 11:11,1,30001,118.082,2013.01.16 10:11,0,117.582,0,EURJPYpro,0,19093764,4,10952720
117.303,2013.01.16 12:11,expiration [2013.01.16 12:11],0,2013.01.16 12:11,1,30001,117.972,2013.01.16 11:11,0,117.216,0,EURJPYpro,0,19094318,4,10952720
119.977,2013.01.18 11:30,xEMA_1.4.9,0,1970.01.01 00:00,1,30001,119.335,2013.01.17 23:00,64200,119.66,0,EURJPYpro,0,19105761,0,10952720
119.536,2013.01.21 16:30,expiration [2013.01.21 16:30],0,2013.01.21 16:30,1,30001,119.59,2013.01.21 15:30,0,118.695,0,EURJPYpro,0,19116610,4,10952720
119.326,2013.01.21 17:30,expiration [2013.01.21 17:30],0,2013.01.21 17:30,1,30001,119.545,2013.01.21 16:30,0,118.679,0,EURJPYpro,0,19116719,4,10952720
119.249,2013.01.21 18:30,expiration [2013.01.21 18:30],0,2013.01.21 18:30,1,30001,119.463,2013.01.21 17:30,0,118.722,0,EURJPYpro,0,19116853,4,10952720
