close price,close time,comment,commission,expiration,lots,magic number,open price,open time,profit,stop loss,swap,symbol,take profit,ticket,order type
0,2012.06.27 20:30,Deposit (AC-13408069227376),0,1970.01.01 00:00,0.01,0,0,2012.06.27 20:30,196000,0,0,,0,3301853,6
0,2012.06.29 20:37,Deposit (AC-13409790595974),0,1970.01.01 00:00,0.01,0,0,2012.06.29 20:37,313600,0,0,,0,3318009,6
99.613,2012.07.05 11:09,[sl],-8,1970.01.01 00:00,1,30001,99.74,2012.07.05 10:02,12700,99.613,0,EURJPYpro,0,3335420,1
99.047,2012.07.05 12:41,[sl],-8,1970.01.01 00:00,1,30001,99.69,2012.07.05 11:19,64300,99.047,0,EURJPYpro,0,3335914,1
98.148,2012.07.06 13:37,,-8,1970.01.01 00:00,1,0,98.336,2012.07.06 12:49,-18800,98,0,EURJPYpro,98.342,3343380,0
98.08,2012.07.06 13:23,[tp],-8,1970.01.01 00:00,1,0,98.1,2012.07.06 13:23,2000,0,0,EURJPYpro,98.08,3343777,1
98.1,2012.07.06 13:23,[sl],-8,1970.01.01 00:00,1,0,98.2,2012.07.06 13:20,-10000,98.1,0,EURJPYpro,98.2,3343826,0
98.141,2012.07.06 13:43,cancelled,0,1970.01.01 00:00,1,0,98.1,2012.07.06 13:30,0,0,0,EURJPYpro,98.089,3343910,5
98.164,2012.07.06 13:32,[tp],-8,1970.01.01 00:00,1,0,98.15,2012.07.06 13:32,1400,0,0,EURJPYpro,98.164,3343924,0
98.16,2012.07.06 13:41,[sl],-8,1970.01.01 00:00,1,0,98.12,2012.07.06 13:39,-4000,98.16,0,EURJPYpro,98.11,3343941,1
96.705,2012.07.18 17:00,expiration [2012.07.18 17:00],0,2012.07.18 17:00,1,30001,96.606,2012.07.18 16:00,0,0,0,EURJPYpro,0,3391135,5
96.738,2012.07.18 20:30,expiration [2012.07.18 20:30],0,2012.07.18 20:30,1,30001,96.613,2012.07.18 19:30,0,0,0,EURJPYpro,0,3391598,5
96.724,2012.07.18 23:51,expiration [2012.07.18 23:51],0,2012.07.18 23:51,1,30001,96.637,2012.07.18 22:51,0,0,0,EURJPYpro,0,3392116,5
96.716,2012.07.19 00:51,expiration [2012.07.19 00:51],0,2012.07.19 00:51,1,30001,96.659,2012.07.18 23:51,0,0,0,EURJPYpro,0,3392162,5
96.644,2012.07.19 02:37,[sl],-8,1970.01.01 00:00,1,30001,96.659,2012.07.19 00:56,1500,96.644,0,EURJPYpro,0,3392282,1
96.2,2012.07.19 14:26,[tp],-8,1970.01.01 00:00,1,30001,96.212,2012.07.19 14:21,1200,96.3,0,EURJPYpro,96.2,3395938,1
96.362,2012.07.19 15:42,[sl],-8,1970.01.01 00:00,1,30001,96.403,2012.07.19 14:54,4100,96.362,0,EURJPYpro,96.343,3396068,1
96.593,2012.07.19 22:55,,-8,1970.01.01 00:00,1,30001,96.375,2012.07.19 15:52,-21800,0,-180,EURJPYpro,0,3396273,1
96.667,2012.07.19 23:55,expiration [2012.07.19 23:55],0,2012.07.19 23:55,1,30001,96.339,2012.07.19 22:55,0,0,0,EURJPYpro,0,3397513,5
96.458,2012.07.20 00:55,expiration [2012.07.20 00:55],0,2012.07.20 00:55,1,30001,96.346,2012.07.19 23:55,0,0,0,EURJPYpro,0,3397650,5
96.442,2012.07.20 03:39,[sl],-8,1970.01.01 00:00,1,30001,96.397,2012.07.20 01:43,-4500,96.442,0,EURJPYpro,96.39,3397779,1
95.822,2012.07.20 12:22,[sl],-8,1970.01.01 00:00,1,30001,96.417,2012.07.20 03:54,59500,95.822,0,EURJPYpro,0,3398103,1
95.444,2012.07.20 14:45,[sl],-8,1970.01.01 00:00,1,202100,95.44,2012.07.20 14:45,-400,95.444,0,EURJPYpro,0,3401042,1
95.53,2012.07.20 14:52,cancelled,0,2012.07.20 15:45,1,202100,95.441,2012.07.20 14:45,0,95.495,0,EURJPYpro,95.431,3401054,5
95.551,2012.07.20 14:54,cancelled,0,2012.07.20 15:52,1,202100,95.44,2012.07.20 14:52,0,95.495,0,EURJPYpro,0,3401072,5
94.874,2012.07.23 11:00,,-8,1970.01.01 00:00,1,30001,95.445,2012.07.20 19:19,57100,94.878,-180,EURJPYpro,0,3401712,1
